date,country,age,sex,fatal,activity,type
June,USA,57.0,F,N,surfing,
June,USA,11.0,F,N,Close to the water,Unprovoked
June,USA,48.0,M,N,surfing,
June,AUSTRALIA,,M,N,surfing,Unprovoked
June,,,M,N,swimming,Provoked
June,AUSTRALIA,,M,N,surfing,Unprovoked
June,,18.0,M,Y,swimming,Unprovoked
May,USA,52.0,M,N,fishing,Unprovoked
May,USA,15.0,M,N,Close to the water,Unprovoked
May,USA,12.0,M,N,Close to the water,Unprovoked
May,AUSTRALIA,32.0,M,N,other activity,Provoked
May,USA,10.0,M,N,surfing,Unprovoked
May,USA,10.0,M,N,swimming,Unprovoked
May,,21.0,M,N,fishing,
May,AUSTRALIA,34.0,F,N,other activity,Provoked
May,SOUTH AFRICA,,M,N,surfing,Unprovoked
May,AUSTRALIA,,M,N,surfing,
April,,,M,N,swimming,Unprovoked
April,,30.0,M,N,swimming,Unprovoked
April,AUSTRALIA,,M,N,surfing,Unprovoked
April,AUSTRALIA,,M,N,surfing,
April,AUSTRALIA,60.0,M,N,surfing,Unprovoked
April,AUSTRALIA,,M,N,surfing,Unprovoked
April,,32.0,M,N,fishing,Unprovoked
April,SOUTH AFRICA,33.0,M,N,vessel related,Unprovoked
April,USA,29.0,M,N,surfing,Unprovoked
April,,54.0,M,N,swimming,Unprovoked
April,,34.0,M,,swimming,Unprovoked
April,AUSTRALIA,41.0,M,N,surfing,Unprovoked
April,AUSTRALIA,37.0,M,N,surfing,Unprovoked
April,,,M,N,surfing,Unprovoked
April,,56.0,M,N,fishing,
April,,,,N,surfing,Unprovoked
April,,12.0,M,N,swimming,Unprovoked
April,SOUTH AFRICA,19.0,M,N,surfing,Unprovoked
March,USA,25.0,M,N,surfing,Unprovoked
March,AUSTRALIA,10.0,M,N,Close to the water,Unprovoked
March,AUSTRALIA,69.0,M,N,swimming,Unprovoked
March,AUSTRALIA,18.0,M,N,surfing,Unprovoked
February,SOUTH AFRICA,38.0,M,N,swimming,Unprovoked
February,AUSTRALIA,55.0,F,N,swimming,Unprovoked
February,AUSTRALIA,34.0,M,N,fishing,Provoked
February,AUSTRALIA,35.0,M,N,Close to the water,Unprovoked
February,AUSTRALIA,,F,N,swimming,
February,,46.0,F,N,other activity,
February,,45.0,M,N,swimming,Unprovoked
February,AUSTRALIA,14.0,M,N,fishing,
January,AUSTRALIA,18.0,M,N,other activity,Unprovoked
January,,,M,N,fishing,Unprovoked
January,AUSTRALIA,,M,N,swimming,Unprovoked
January,AUSTRALIA,28.0,M,N,swimming,Unprovoked
January,,20.0,M,N,surfing,Unprovoked
January,AUSTRALIA,,M,N,surfing,Unprovoked
December,USA,54.0,F,N,surfing,Unprovoked
December,USA,35.0,F,N,surfing,Unprovoked
December,,24.0,M,N,fishing,Provoked
December,,25.0,F,N,swimming,Unprovoked
November,,26.0,M,N,swimming,Unprovoked
November,,49.0,F,Y,swimming,Unprovoked
November,,,,Y,other activity,
November,USA,25.0,M,N,fishing,Unprovoked
November,USA,14.0,F,N,surfing,Unprovoked
November,,24.0,M,N,surfing,Unprovoked
November,AUSTRALIA,25.0,M,N,surfing,Unprovoked
November,,22.0,M,Y,Close to the water,Unprovoked
October,AUSTRALIA,7.0,M,N,swimming,Unprovoked
October,AUSTRALIA,31.0,M,N,surfing,Unprovoked
October,USA,,M,N,surfing,Unprovoked
October,,,M,N,swimming,Unprovoked
October,USA,17.0,M,N,surfing,Unprovoked
October,USA,60.0,F,N,swimming,Unprovoked
October,AUSTRALIA,15.0,F,N,fishing,Unprovoked
October,NEW ZEALAND,,M,N,vessel related,Unprovoked
October,USA,,M,N,swimming,Unprovoked
October,USA,54.0,M,N,surfing,Unprovoked
October,USA,40.0,F,N,swimming,Unprovoked
October,SOUTH AFRICA,31.0,M,,swimming,
September,USA,,M,N,surfing,Unprovoked
September,AUSTRALIA,,M,N,surfing,Unprovoked
September,USA,33.0,M,,surfing,
September,USA,,M,N,surfing,Unprovoked
September,USA,,M,N,surfing,Unprovoked
September,,13.0,M,N,surfing,Unprovoked
